उपसर्गों की संख्या: स्कृत में कुल बाईस (22) उपसर्ग होते हैं।
प्र: Forward, forth, much
	Example: प्रभवति, प्रकर्षः, प्रयत्नः, प्रतिष्ठा
	Sandhi
		प्र + भवति (भू धातु) = प्रभवति
		प्र + तिष्ठते (स्था धातु) = प्रतिष्ठते
		प्र + विशति (विश् धातु) = प्रविशति
		प्र + ददाति (दा धातु) = प्रददाति
		प्र + चलति (चल् धातु) = प्रचलति
		प्र + सरति (सृ धातु) = प्रसारति
		प्र + नमति (नम् धातु) = प्रणमति
		प्र + स्थाम्न (स्था धातु) = प्रस्थानम्
		प्र + धाल्नम् (धाल् धातु) = प्रधाल्नम्
		प्र + नयति (नी धातु) = प्रणयति
		प्र + हरति (हृ धातु) = प्रहरति
		प्र + काश्यति (कश् धातु) = प्रकाशयति
		प्र + वादयति (वद् धातु) = प्रवादयति
		प्र + करोति (कृ धातु) = प्रकरोति
		प्र + एजयते = प्रेजयते
		प्र + हारः = प्रहारः
		प्र + मतः = प्रमतः
		प्र + यानम् = प्रयाणम्
		प्र + कमनम् = प्रकमनम्
		प्र + काशः = प्रकाशः
		प्र + कृतिः = प्रकृतिः
		प्र + क्रिया = प्रक्रिया
		प्र + ख्यातः = प्रख्यातः
		प्र + दानम् = प्रदानम्
		प्र + बलः = प्रबलः
		प्र + योगः = प्रयोगः
		प्र + सारम् = प्रसारम्
		प्र + यत्नः = प्रयत्नः
		प्र + पोत्रः = प्रपोत्रः
		प्र + आरम्भः = प्रारम्भः
		प्र + आयोजकः = प्रायोजकः
		प्र + आचार्यः = प्राचार्यः
		प्र + अर्थी = प्रार्थी
		प्र + ख्यातः = प्रख्यातः
परा: Away, back, down, opposite
	Example: पराजयते, पराभवति
	Sandhi
		परा + भवति (भू धातु) = पराभवति
		परा + जयति (जि धातु) = पराजयते
		परा + करोति (कृ धातु) = पराकरोति
		परा + अयते (अय् धातु) = परायते
		परा + क्रमते (क्रम् धातु) = पराक्रमते
		परा + वर्तते (वृत् धातु) = परावर्तते
		परा + विद्या = पराविद्या
		परा + काशः = पराकाशः
अप: Away, off, opposite
	Example: अपहरति, अपकरोति
	Sandhi
		अप + करोति (कृ धातु) = अपकरोति
		अप + सरति (सृ धातु) = अपसरति
		अप + हरति (हृ धातु) = अपहरति
		अप + जानाति (ज्ञा धातु) = अपजानाति
		अप + ईक्षते (ईक्ष् धातु) = अपेक्षते
		अप + आ + करोति (कृ धातु) = अपाकरोति
		अप + एति = अपेतिः
		अप + यशः = अपयशः
		अप + मानम् = अपमानम्
		अप + करः = अपकारः
		अप + शब्दः = अपशब्दः
		अप + कीर्तिः = अपकीर्तिः
		अप + व्ययः = अपव्ययः
		अप + राधः = अपराधः
		अप + कर्म = अपकर्म
		अप + वादः = अपवादः
		अप + ईक्षा = अपेक्षा
		अप + हरणम् = अपहरणम्
